Food Name,Calories,Carbs,Cholesterol,Fats,Fiber,Protein,Saturated Fat,Sodium,Sugar
Acerola,32.0,7.7,0.0,0.3,1.1,0.4,0.07,0.007,
Apple,52.0,14.0,0.0,0.17,2.4,0.26,0.03,0.001,10.0
Apricot,48.0,11.0,0.0,0.39,2.0,1.4,0.03,0.001,9.2
Dried fruit,241.0,63.0,0.0,0.51,7.3,3.4,0.02,0.01,53.0
Avocado,160.0,8.5,0.0,15.0,6.7,2.0,2.1,0.007,0.66
Banana,89.0,23.0,0.0,0.33,2.6,1.1,0.11,0.001,12.0
Blackberry,43.0,9.6,0.0,0.49,5.3,1.4,0.01,0.001,4.9
Blueberry,57.0,14.0,0.0,0.33,2.4,0.74,0.03,0.001,10.0
Boysenberries,50.0,12.0,0.0,0.26,5.3,1.1,0.01,0.001,6.9
Breadfruit,103.0,27.0,0.0,0.23,4.9,1.1,0.05,0.002,11.0
Carambola,31.0,6.7,0.0,0.33,2.8,1.0,0.02,0.002,4.0
Cherimoya,75.0,18.0,0.0,0.68,3.0,1.6,0.23,0.007,13.0
Cherry,50.0,12.0,0.0,0.3,1.6,1.0,0.07,0.003,8.5
Crabapple (Malus),76.0,20.0,0.0,0.3,,0.4,0.05,0.001,
Cranberry,46.0,12.0,0.0,0.13,3.6,0.46,0.01,0.002,4.3
Currant,56.0,14.0,0.0,0.2,4.3,1.4,0.02,0.001,7.4
Custard apple,101.0,25.0,0.0,0.6,2.4,1.7,0.23,0.004,
Dates,282.0,75.0,0.0,0.39,8.0,2.5,0.03,0.002,63.0
Elderberry,73.0,18.0,0.0,0.5,7.0,0.66,0.02,0.006,
Figs,74.0,19.0,0.0,0.3,2.9,0.75,0.06,0.001,16.0
Fruit salad,50.0,13.0,0.0,0.03,1.0,0.51,0.0,0.005,
Gooseberry,44.0,10.0,0.0,0.58,4.3,0.88,0.04,0.001,
Goji berries,349.0,77.0,0.0,0.39,13.0,14.0,0.0,0.298,46.0
Grapefruit,42.0,11.0,0.0,0.14,1.6,0.77,0.02,0.0,6.9
Grape,67.0,17.0,0.0,0.35,0.9,0.63,0.11,0.002,16.0
Peruvian groundcherry,53.0,11.0,0.0,0.7,,1.9,,,
Guava,68.0,14.0,0.0,0.95,5.4,2.6,0.27,0.002,8.9
Jackfruit,95.0,23.0,0.0,0.64,1.5,1.7,0.2,0.002,19.0
Java plum,60.0,16.0,0.0,0.23,,0.72,,0.014,
Jujube,79.0,20.0,0.0,0.2,,1.2,,0.003,
Kiwifruit,61.0,15.0,0.0,0.52,3.0,1.1,0.03,0.003,9.0
Kumquat,71.0,16.0,0.0,0.86,6.5,1.9,0.1,0.01,9.4
Lemon,29.0,9.3,0.0,0.3,2.8,1.1,0.04,0.002,2.5
Lime,30.0,11.0,0.0,0.2,2.8,0.7,0.02,0.002,1.7
Lychee,66.0,17.0,0.0,0.44,1.3,0.83,0.1,0.001,15.0
Loganberries,55.0,13.0,0.0,0.31,5.3,1.5,0.01,0.001,7.7
Longan,60.0,15.0,0.0,0.1,1.1,1.3,,0.0,
Loquat,47.0,12.0,0.0,0.2,1.7,0.43,0.04,0.001,
Mango,60.0,15.0,0.0,0.38,1.6,0.82,0.09,0.001,14.0
Purple mangosteen,73.0,18.0,0.0,0.58,1.8,0.41,,0.007,
Cantaloupe,34.0,8.2,0.0,0.19,0.9,0.84,0.05,0.016,7.9
Melon,28.0,6.6,0.0,0.1,0.9,1.1,0.03,0.009,5.7
Honeydew,36.0,9.1,0.0,0.14,0.8,0.54,0.04,0.018,8.1
Mulberry,43.0,9.8,0.0,0.39,1.7,1.4,0.03,0.01,8.1
Nectarine,44.0,11.0,0.0,0.32,1.7,1.1,0.03,0.0,7.9
Orange,47.0,12.0,0.0,0.12,2.4,0.94,0.02,0.0,9.4
Mandarin orange,53.0,13.0,0.0,0.31,1.8,0.81,0.04,0.002,11.0
Papaya,43.0,11.0,0.0,0.26,1.7,0.47,0.08,0.008,7.8
Passion fruit,97.0,23.0,0.0,0.7,10.0,2.2,0.06,0.028,11.0
Peach,39.0,9.5,0.0,0.25,1.5,0.91,0.02,0.0,8.4
Pear,57.0,15.0,0.0,0.14,3.1,0.36,0.02,0.001,9.8
Persimmon,127.0,34.0,0.0,0.4,,0.8,,0.001,
Pineapple,50.0,13.0,0.0,0.12,1.4,0.54,0.01,0.001,9.9
Pitanga (Surinam cherry),33.0,7.5,0.0,0.4,,0.8,,0.003,
Plantain,116.0,31.0,0.0,0.18,2.3,0.79,0.07,0.005,14.0
Plum,46.0,11.0,0.0,0.28,1.4,0.7,0.02,0.0,9.9
Pomegranate,83.0,19.0,0.0,1.2,4.0,1.7,0.12,0.003,14.0
Prickly pear,41.0,9.6,0.0,0.51,3.6,0.73,0.07,0.005,
Prunes,240.0,64.0,0.0,0.38,7.1,2.2,0.09,0.002,38.0
Pomelo,38.0,9.6,0.0,0.04,1.0,0.76,,0.001,
Quince,57.0,15.0,0.0,0.1,1.9,0.4,0.01,0.004,
Raisin,299.0,79.0,0.0,0.46,3.7,3.1,0.06,0.011,59.0
Rambutan,82.0,21.0,0.0,0.21,0.9,0.65,,0.011,
Raspberry,52.0,12.0,0.0,0.65,6.5,1.2,0.02,0.001,4.4
Roselle,49.0,11.0,0.0,0.64,,0.96,,0.006,
Rose apple,25.0,5.7,0.0,0.3,,0.6,,0.0,
Sapodilla,83.0,20.0,0.0,1.1,5.3,0.44,0.19,0.012,
Mamey Sapote,124.0,32.0,0.0,0.46,5.4,1.5,0.17,0.007,20.0
Soursop,66.0,17.0,0.0,0.3,3.3,1.0,0.05,0.014,14.0
Strawberry,32.0,7.7,0.0,0.3,2.0,0.67,0.02,0.001,4.9
Tamarind,239.0,63.0,0.0,0.6,5.1,2.8,0.27,0.028,39.0
Watermelon,30.0,7.6,0.0,0.15,0.4,0.61,0.02,0.001,6.2
Maraschino cherry,165.0,42.0,0.0,0.21,3.2,0.22,0.04,0.004,39.0
Feijoa,61.0,15.0,0.0,0.42,6.4,0.71,0.1,0.003,8.2
Asian pear,42.0,11.0,0.0,0.23,3.6,0.5,0.01,0.0,7.1
Sour cherry,42.0,10.0,,0.21,1.2,0.69,,0.004,7.0
Durian,147.0,27.0,0.0,5.3,3.8,1.5,,0.002,
Crateva religiosa,69.0,18.0,,0.1,5.3,1.5,0.01,0.02,8.6
Clementine,47.0,12.0,,0.15,1.7,0.85,,0.001,9.2
Nance,73.0,17.0,,1.2,7.5,0.66,,0.003,8.3
Naranjilla,25.0,5.9,,0.22,1.1,0.44,,0.004,3.7
Horned melon,44.0,7.6,,1.3,,1.8,,0.002,
Coconut,354.0,15.0,0.0,33.0,9.0,3.3,30.0,0.02,6.2
Cloudberry,51.0,8.6,,0.8,,2.4,,,
Huckleberries,37.0,8.7,,0.1,,0.4,,0.01,
